Espécie,Nome Popular,Descrição,Coordenada 1,Coordenada 2
Musa × paradisiaca L..,Bananeira,Atrás do Bloco 0,"20°48'13.12""S ","41°09'18.15""W"
Averrhoa carambola,Caramboleiro,Em frente ao IFES,"20°48'09.92""S ","41°09'19.82""W"
Pachira glabra,Castanha-do-Maranhão,Do lado do Carioca Lanches,"20°48'12.06""S ","41°09'19.10""W"
Pachira glabra,Castanha-do-Maranhão,Atrás do Bloco 0,"20°48'12.88""S ","41°09'15.58""W"
Psidium guajava,Goiabeira,Atrás do Bloco 0,"20°48'13.07""S ","41°09'16.71""W"
Psidium guajava,Goiabeira,Ao lado da quadra,"20°48'08.64""S ","41°09'13.91""W"
Psidium guajava,Goiabeira,Atrás do Bloco 0,"20°48'13.08""S ","41°09'16.63""W"
Citrus × latifolia,Limoeiro,Atrás do Bloco 3,"20°48'10.95""S ","41°09'15.34""W"
Citrus × latifolia,Limoeiro,Atrás do Bloco 0,"20°48'13.07""S ","41°09'16.76""W"
Citrus × latifolia,Limoeiro,Atrás do Bloco 7,"20°48'09.71""S ","41°09'14.61""W"
Citrus × latifolia,Limoeiro,Atrás do refeitório,"20°48'13.08""S ","41°09'18.28""W"
Mangifera indica.,Mangueira,Atrás do Bloco 1,"20°48'11.42""S ","41°09'15.62""W"
Mangifera indica.,Mangueira,Em frente ao IFES,"20°48'09.53""S ","41°09'20.08""W"
Malpighia emarginata,Pé de Acerola,Atrás do Bloco 5,"20°48'10.29""S ","41°09'14.90""W"
Malpighia emarginata,Pé de Acerola,Atrás do Bloco 0,"20°48'13.15""S ","41°09'16.48""W"
Butia arenicola,Pé de Coqueirinho,Atrás dos blocos pares,"20°48'10.41""S ","41°09'17.82""W"
Butia arenicola,Pé de Coqueirinho,Atrás dos blocos pares,"20°48'10.09""S ","41°09'17.64""W"
Butia arenicola,Pé de Coqueirinho,Atrás dos blocos pares,"20°48'09.95""S ","41°09'17.54""W"
Butia arenicola,Pé de Coqueirinho,Atrás dos blocos pares,"20°48'09.82""S ","41°09'17.44""W"
Psidium guajava,Pé de Coqueirinho,Atrás dos blocos pares,"20°48'09.75""S ","41°09'17.41""W"
Butia arenicola,Pé de Coqueirinho,Atrás dos blocos pares,"20°48'09.63""S ","41°09'17.34""W"
Butia arenicola,Pé de Coqueirinho,Atrás dos blocos pares,"20°48'09.49""S ","41°09'17.27""W"
Butia arenicola,Pé de Coqueirinho,Atrás dos blocos pares,"20°48'09.49""S ","41°09'17.27""W"
Butia arenicola,Pé de Coqueirinho,Atrás dos blocos pares,"20°48'09.33""S ","41°09'17.15""W"
Butia arenicola,Pé de Coqueirinho,Atrás dos blocos pares,"20°48'09.29""S ","41°09'17.11""W"
Butia arenicola,Pé de Coqueirinho,Atrás dos blocos pares,"20°48'09.20""S ","41°09'17.05""W"
Butia arenicola,Pé de Coqueirinho,Atrás dos blocos pares,"20°48'09.02""S ","41°09'16.91""W"
Butia arenicola,Pé de Coqueirinho,Atrás dos blocos pares,"20°48'08.86""S ","41°09'16.81""W"
Butia arenicola,Pé de Coqueirinho,Atrás dos blocos pares,"20°48'08.57""S ","41°09'16.64""W"
Butia arenicola,Pé de Coqueirinho,Atrás dos blocos pares,"20°48'08.44""S ","41°09'16.55""W"
Butia arenicola,Pé de Coqueirinho,Atrás dos blocos pares,"20°48'08.18""S ","41°09'16.36""W"
Butia arenicola,Pé de Coqueirinho,Atrás dos blocos pares,"20°48'07.93""S ","41°09'16.19""W"
Syzygium malaccense,Pé de Jambo,Entre o Bloco 5 e Bloco 7,"20°48'09.81""S ","41°09'15.66""W"
Syzygium malaccense,Pé de Jambo,Entre o Bloco 7 e Bloco 9,"20°48'09.18""S","41°09'15.25""W"
Syzygium malaccense,Pé de Jambo,Entre o Bloco 4 e Bloco 6,"20°48'09.84""S ","41°09'16.56""W"
Carica papaya L.,Pé de mamão,Atrás do Bloco 0,"20°48'13.21""S ","41°09'16.58""W"
Vitis vinifera.,Videira,Atrás do Bloco 0,"20°48'13.14""S ","41°09'17.10""W"